
Please build project in debug configuration to get more details about an exception.
See https://docs.platformio.org/page/projectconf/build_configurations.html


--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
I 00:11:01.130 |        main.cpp: 194 |  free heap size: 23124 biggest block : 20480 
I 00:11:02.151 |        main.cpp: 194 |  free heap size: 21280 biggest block : 20480 
I 00:11:03.175 |        main.cpp: 194 |  free heap size: 23108 biggest block : 20480 
I 00:11:04.186 |        main.cpp: 194 |  free heap size: 23120 biggest block : 22528 
I 00:11:05.213 |        main.cpp: 194 |  free heap size: 26724 biggest block : 23552 
I 00:11:06.232 |        main.cpp: 194 |  free heap size: 23160 biggest block : 21504 
I 00:11:07.259 |        main.cpp: 194 |  free heap size: 24940 biggest block : 23552 
I 00:11:08.271 |        main.cpp: 194 |  free heap size: 28548 biggest block : 26624 
I 00:11:09.304 |        main.cpp: 194 |  free heap size: 26528 biggest block : 25600 
I 00:11:10.319 |        main.cpp: 194 |  free heap size: 28560 biggest block : 26624 
I 00:11:11.332 |        main.cpp: 194 |  free heap size: 30344 biggest block : 26624 
I 00:11:12.344 |        main.cpp: 194 |  free heap size: 30356 biggest block : 26624 
I 00:11:13.356 |        main.cpp: 194 |  free heap size: 28792 biggest block : 26624 
I 00:11:14.370 |        main.cpp: 194 |  free heap size: 30356 biggest block : 26624 
I 00:11:15.378 |        main.cpp: 194 |  free heap size: 23112 biggest block : 22528 
I 00:11:16.405 |        main.cpp: 194 |  free heap size: 21300 biggest block : 20480 
I 00:11:17.417 |        main.cpp: 194 |  free heap size: 23132 biggest block : 20480 
I 00:11:18.426 |        main.cpp: 194 |  free heap size: 23128 biggest block : 22528 
I 00:11:19.437 |        main.cpp: 194 |  free heap size: 26752 biggest block : 25600 
I 00:11:20.462 |        main.cpp: 194 |  free heap size: 26724 biggest block : 25600 
I 00:11:21.491 |        main.cpp: 194 |  free heap size: 24972 biggest block : 23552 
I 00:11:22.516 |        main.cpp: 194 |  free heap size: 23112 biggest block : 22528 
I 00:11:23.535 |        main.cpp: 194 |  free heap size: 26436 biggest block : 25600 
I 00:11:24.555 |        main.cpp: 194 |  free heap size: 26752 biggest block : 25600 
